OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
45553,"{BFEBE961-7B08-4879-943A-AEFBF2137967}","STRATHMARTINE153","10-15m.","50-100cm","Mature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",340085,733041,56.4856403108599,-2.97449879857063
45569,"{C6AF9D10-D0AC-435B-A4D6-B57A3A1AC7AB}","STRATHMARTINE150","20-25m.","150-200cm","Mature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",340079,733011,56.4853700662746,-2.9745893003889
45585,"{E807BC2B-4119-4DFD-A51A-602A3B576F0E}","STRATHMARTINE152","5-10m.","25-50cm","Semi-mature",416,"Betula pendula","Silver birch","NBNSYS0000003827",340081,733018,56.4854331998113,-2.97455844229196
45601,"{359297BD-D2D5-465D-97A2-DCBF9F835C57}","STRATHMARTINE154","5-10m.","25-50cm","Immature",648,"Alnus glutinosa","European alder","NHMSYS0000455771",340079,733054,56.4857563209287,-2.97459920462201
45617,"{361BC38C-2AB7-4E2A-A6F0-4A745A27F84F}","STRATHMARTINE155","5-10m.","50-100cm","Immature",633,"Prunus avium 'Plena'","Double gean","NHMSYS0019998082",340086,733056,56.4857751782812,-2.97448601787737
45633,"{385BB4F1-7841-42B1-BA6C-BBD43924E9D6}","STRATHMARTINE156","0-5m.","15-20cm.","Young",349,"Platanus x acerifolia","London plane","NBNSYS0000161802",340068,733055,56.4857639016389,-2.97477802369186
45649,"{55190A19-4F9B-4B27-9B3E-5F6026D446A4}","STRATHMARTINE157","5-10m.","25-50cm","Immature",649,"Fraxinus excelsior","European ash","NBNSYS0000003949",340066,733046,56.4856828027202,-2.97480842092024
45665,"{6E8830BC-47A9-484A-BF05-45ED03579DBF}","STRATHMARTINE158","5-10m.","50-100cm","Immature",633,"Prunus avium 'Plena'","Double gean","NHMSYS0019998082",340084,733051,56.4857300100973,-2.97451733699426
45681,"{548FB11C-9626-4DEC-BCE9-4C7A24293694}","STRATHMARTINE159","5-10m.","25-50cm","Immature",561,"Fagus sylvatica 'Atropurpurea'","Copper Beech",,340019,733027,56.4855061388608,-2.97556709939696
45697,"{6EDBC516-AC00-4D41-954F-BD532DE737E0}","STRATHMARTINE160","10-15m.","50-100cm","Immature",561,"Fagus sylvatica 'Atropurpurea'","Copper Beech",,340021,733031,56.4855423246422,-2.97553555115839
